,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
21,Ta1 Cr1 W2 C4,"Full Formula (Ta1 Cr1 W2 C4)
Reduced Formula: TaCr(WC2)2
abc   :   4.342994   4.349472   4.349472
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0    -0
  5  Ta    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  W      0.5   0.5   0",503.29,354.154,199.22,19.398
22,Zr2 Ta1 Cr1 C4,"Full Formula (Zr2 Ta1 Cr1 C4)
Reduced Formula: Zr2TaCrC4
abc   :   4.485282   4.534372   4.534372
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Cr     0    0    -0
  5  Ta     0    0.5   0.5
  6  Zr     0.5  0     0.5
  7  Zr     0.5  0.5  -0",427.091,257.983,174.453,22.693
23,Ti3 Cr1 C4,"Full Formula (Ti3 Cr1 C4)
Reduced Formula: Ti3CrC4
abc   :   4.271312   4.271312   4.271312
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0    -0     0
  5  Ti    -0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Ti     0.5   0.5   0",454.173,278.136,184.947,23.067
25,Ti2 V1 Cr1 C4,"Full Formula (Ti2 V1 Cr1 C4)
Reduced Formula: Ti2VCrC4
abc   :   4.233497   4.233497   4.207897
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0    -0     0
  5  Ti     0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  V      0.5   0.5   0",458.455,291.157,185.224,21.778
26,Ti2 Cr1 W1 C4,"Full Formula (Ti2 Cr1 W1 C4)
Reduced Formula: Ti2CrWC4
abc   :   4.289083   4.289083   4.267974
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5   0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0     0    -0
  5  Ti    0     0.5   0.5
  6  Ti    0.5  -0     0.5
  7  W     0.5   0.5   0",506.835,313.995,205.867,24.295
27,Zr1 Ti2 Cr1 C4,"Full Formula (Zr1 Ti2 Cr1 C4)
Reduced Formula: ZrTi2CrC4
abc   :   4.370782   4.370782   4.408949
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0    -0     0
  5  Ti    0     0.5   0.5
  6  Ti    0.5  -0     0.5
  7  Zr    0.5   0.5  -0",407.832,251.127,165.875,21.275
28,Ti1 V2 Cr1 C4,"Full Formula (Ti1 V2 Cr1 C4)
Reduced Formula: TiV2CrC4
abc   :   4.184204   4.176539   4.176539
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0    -0
  5  Ti     0     0.5   0.5
  6  V      0.5  -0     0.5
  7  V      0.5   0.5  -0",483.14,306.549,195.236,22.584
29,Ti1 Cr1 W2 C4,"Full Formula (Ti1 Cr1 W2 C4)
Reduced Formula: TiCr(WC2)2
abc   :   4.284434   4.306602   4.306602
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0     0
  5  Ti     0     0.5   0.5
  6  W      0.5  -0     0.5
  7  W      0.5   0.5  -0",524.214,346.785,210.012,22.172
30,Zr2 Ti1 Cr1 C4,"Full Formula (Zr2 Ti1 Cr1 C4)
Reduced Formula: Zr2TiCrC4
abc   :   4.449495   4.508211   4.508211
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Cr     0    0    -0
  5  Ti    -0    0.5   0.5
  6  Zr     0.5  0     0.5
  7  Zr     0.5  0.5   0",389.404,234.961,159.099,21.387
31,V3 Cr1 C4,"Full Formula (V3 Cr1 C4)
Reduced Formula: V3CrC4
abc   :   4.133671   4.133671   4.133671
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0    -0    -0
  5  V      0     0.5   0.5
  6  V      0.5   0     0.5
  7  V      0.5   0.5   0",503.973,322.258,203.321,22.91
