,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
167,Zr1 Mo3 C4,"Full Formula (Zr1 Mo3 C4)
Reduced Formula: ZrMo3C4
abc   :   4.445555   4.445555   4.445555
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0    -0    -0
  5  Mo    -0     0.5   0.5
  6  Mo     0.5  -0     0.5
  7  Zr     0.5   0.5   0",434.838,308.38,171.874,17.33
168,Zr1 Cr2 Mo1 C4,"Full Formula (Zr1 Cr2 Mo1 C4)
Reduced Formula: ZrCr2MoC4
abc   :   4.315091   4.340622   4.340622
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5   0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Cr    -0    0     0
  5  Cr    -0    0.5   0.5
  6  Mo     0.5  0     0.5
  7  Zr     0.5  0.5  -0",389.41,284.282,153.106,15.26
169,Nb2 Mo2 C4,"Full Formula (Nb2 Mo2 C4)
Reduced Formula: NbMoC2
abc   :   4.428277   4.425241   4.425241
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0    -0    -0
  5  Mo     0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  Nb     0.5   0.5   0",484.39,320.216,194.085,21.065
171,Ta1 Nb1 Mo2 C4,"Full Formula (Ta1 Nb1 Mo2 C4)
Reduced Formula: TaNb(MoC2)2
abc   :   4.429915   4.424547   4.424547
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0    -0
  5  Mo    -0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  Ta     0.5   0.5   0",470.985,329.397,186.648,18.746
172,Ti1 Nb1 Mo2 C4,"Full Formula (Ti1 Nb1 Mo2 C4)
Reduced Formula: TiNb(MoC2)2
abc   :   4.390548   4.385564   4.385564
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b    c
---  ----  ----  ----  ---
  0  C     -0     0.5  0
  1  C      0.5  -0    0
  2  C     -0    -0    0.5
  3  C      0.5   0.5  0.5
  4  Mo    -0    -0    0
  5  Mo    -0     0.5  0.5
  6  Nb     0.5   0    0.5
  7  Ti     0.5   0.5  0",450.237,310.338,178.921,18.65
173,Nb1 V1 Mo2 C4,"Full Formula (Nb1 V1 Mo2 C4)
Reduced Formula: NbV(MoC2)2
abc   :   4.360545   4.355313   4.355313
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0     0     0
  5  Mo     0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  V      0.5   0.5  -0",493.76,323.748,198.168,21.64
174,Nb1 Mo2 W1 C4,"Full Formula (Nb1 Mo2 W1 C4)
Reduced Formula: NbMo2WC4
abc   :   4.406333   4.396527   4.396527
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0    -0
  5  Mo    -0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  W      0.5   0.5  -0",427.864,341.779,165.665,13.909
175,Zr1 Nb1 Mo2 C4,"Full Formula (Zr1 Nb1 Mo2 C4)
Reduced Formula: ZrNb(MoC2)2
abc   :   4.471854   4.475550   4.475550
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0     0
  5  Mo    -0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",434.28,291.433,173.484,19.072
179,Nb2 Cr2 C4,"Full Formula (Nb2 Cr2 C4)
Reduced Formula: NbCrC2
abc   :   4.299208   4.319625   4.319625
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0     0
  5  Cr    -0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  Nb     0.5   0.5  -0",429.506,295.196,170.777,18.154
183,Ta2 Mo2 C4,"Full Formula (Ta2 Mo2 C4)
Reduced Formula: TaMoC2
abc   :   4.432763   4.423477   4.423477
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0     0    -0
  5  Mo    -0     0.5   0.5
  6  Ta     0.5   0     0.5
  7  Ta     0.5   0.5  -0",469.444,338.58,184.978,17.732
184,Ta1 Ti1 Mo2 C4,"Full Formula (Ta1 Ti1 Mo2 C4)
Reduced Formula: TaTi(MoC2)2
abc   :   4.397406   4.383700   4.383700
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0    -0
  2  C      0    0     0.5
  3  C      0.5  0.5   0.5
  4  Mo     0    0     0
  5  Mo    -0    0.5   0.5
  6  Ta     0.5  0     0.5
  7  Ti     0.5  0.5   0",474.542,318.185,189.599,20.272
185,Ta1 V1 Mo2 C4,"Full Formula (Ta1 V1 Mo2 C4)
Reduced Formula: TaV(MoC2)2
abc   :   4.363706   4.356528   4.356528
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0     0
  5  Mo     0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  V      0.5   0.5  -0",506.01,333.674,202.85,21.779
186,Ta1 Mo2 W1 C4,"Full Formula (Ta1 Mo2 W1 C4)
Reduced Formula: TaMo2WC4
abc   :   4.411644   4.395844   4.395844
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0     0
  5  Mo     0     0.5   0.5
  6  Ta     0.5   0     0.5
  7  W      0.5   0.5   0",419.725,353.278,161.186,12.508
187,Zr1 Ta1 Mo2 C4,"Full Formula (Zr1 Ta1 Mo2 C4)
Reduced Formula: ZrTa(MoC2)2
abc   :   4.477385   4.471236   4.471236
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5   0     0
  2  C     0     0     0.5
  3  C     0.5   0.5   0.5
  4  Mo    0     0     0
  5  Mo    0     0.5   0.5
  6  Ta    0.5  -0     0.5
  7  Zr    0.5   0.5  -0",468.761,298.701,189.254,21.972
188,Ti2 Mo2 C4,"Full Formula (Ti2 Mo2 C4)
Reduced Formula: TiMoC2
abc   :   4.325188   4.354916   4.354916
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b    c
---  ----  ----  ---  ---
  0  C      0    0.5  0
  1  C      0.5  0    0
  2  C      0    0    0.5
  3  C      0.5  0.5  0.5
  4  Mo    -0    0    0
  5  Mo     0    0.5  0.5
  6  Ti     0.5  0    0.5
  7  Ti     0.5  0.5  0",502.656,316.07,203.514,23.547
189,Ti1 V1 Mo2 C4,"Full Formula (Ti1 V1 Mo2 C4)
Reduced Formula: TiV(MoC2)2
abc   :   4.301608   4.316768   4.316768
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0     0     0
  5  Mo     0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  V      0.5   0.5  -0",471.486,321.288,187.78,19.626
191,Ti1 Mo2 W1 C4,"Full Formula (Ti1 Mo2 W1 C4)
Reduced Formula: TiMo2WC4
abc   :   4.363882   4.355815   4.355815
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C      0    0.5  -0
  1  C      0.5  0     0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Mo     0    0    -0
  5  Mo     0    0.5   0.5
  6  Ti     0.5  0     0.5
  7  W      0.5  0.5  -0",494.543,339.759,196.652,19.981
192,Zr1 Ti1 Mo2 C4,"Full Formula (Zr1 Ti1 Mo2 C4)
Reduced Formula: ZrTi(MoC2)2
abc   :   4.421101   4.446852   4.446852
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0    -0
  5  Mo    -0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Zr     0.5   0.5   0",453.358,291.499,182.69,21.155
193,V2 Mo2 C4,"Full Formula (V2 Mo2 C4)
Reduced Formula: VMoC2
abc   :   4.270123   4.282120   4.282120
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0     0
  5  Mo    -0     0.5   0.5
  6  V      0.5   0     0.5
  7  V      0.5   0.5  -0",501.287,333.721,200.571,21.29
194,V1 Mo2 W1 C4,"Full Formula (V1 Mo2 W1 C4)
Reduced Formula: VMo2WC4
abc   :   4.334612   4.328545   4.328545
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0     0
  5  Mo     0     0.5   0.5
  6  V      0.5   0     0.5
  7  W      0.5   0.5  -0",457.232,348.209,178.446,15.842
195,Zr1 V1 Mo2 C4,"Full Formula (Zr1 V1 Mo2 C4)
Reduced Formula: ZrV(MoC2)2
abc   :   4.405644   4.407607   4.407607
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Mo    0    -0     0
  5  Mo    0     0.5   0.5
  6  V     0.5  -0     0.5
  7  Zr    0.5   0.5  -0",442.358,296.388,176.767,19.364
196,Mo2 W2 C4,"Full Formula (Mo2 W2 C4)
Reduced Formula: MoWC2
abc   :   4.381806   4.373244   4.373244
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0    -0
  5  Mo    -0     0.5   0.5
  6  W      0.5   0     0.5
  7  W      0.5   0.5   0",459.847,362.696,178.416,14.962
197,Zr1 Mo2 W1 C4,"Full Formula (Zr1 Mo2 W1 C4)
Reduced Formula: ZrMo2WC4
abc   :   4.447381   4.442170   4.442170
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0    -0
  5  Mo    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  Zr     0.5   0.5   0",455.481,315.281,180.858,18.659
198,Zr2 Mo2 C4,"Full Formula (Zr2 Mo2 C4)
Reduced Formula: ZrMoC2
abc   :   4.496029   4.539379   4.539379
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0     0
  5  Mo    -0     0.5   0.5
  6  Zr     0.5   0     0.5
  7  Zr     0.5   0.5  -0",445.628,273.881,181.324,22.637
199,Nb3 Mo1 C4,"Full Formula (Nb3 Mo1 C4)
Reduced Formula: Nb3MoC4
abc   :   4.453824   4.453824   4.453824
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0    -0
  5  Nb     0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  Nb     0.5   0.5   0",505.798,311.077,205.775,24.572
201,Ta1 Nb1 Cr2 C4,"Full Formula (Ta1 Nb1 Cr2 C4)
Reduced Formula: TaNb(CrC2)2
abc   :   4.306854   4.320756   4.320756
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0    -0
  5  Cr    -0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  Ta     0.5   0.5  -0",454.198,305.048,181.412,19.629
202,Ta1 Nb2 Mo1 C4,"Full Formula (Ta1 Nb2 Mo1 C4)
Reduced Formula: TaNb2MoC4
abc   :   4.454002   4.454002   4.450146
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b     c
---  ----  ---  ---  ----
  0  C     0    0.5  -0
  1  C     0.5  0    -0
  2  C     0    0     0.5
  3  C     0.5  0.5   0.5
  4  Mo    0    0    -0
  5  Nb    0    0.5   0.5
  6  Nb    0.5  0     0.5
  7  Ta    0.5  0.5  -0",523.131,320.399,213.023,25.302
203,Ti1 Nb2 Mo1 C4,"Full Formula (Ti1 Nb2 Mo1 C4)
Reduced Formula: TiNb2MoC4
abc   :   4.415816   4.415816   4.422680
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Mo    -0    0    -0
  5  Nb    -0    0.5   0.5
  6  Nb     0.5  0     0.5
  7  Ti     0.5  0.5  -0",475.333,303.284,191.854,22.125
204,Nb2 V1 Mo1 C4,"Full Formula (Nb2 V1 Mo1 C4)
Reduced Formula: Nb2VMoC4
abc   :   4.387342   4.387342   4.385914
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Mo    0    -0    -0
  5  Nb    0     0.5   0.5
  6  Nb    0.5  -0     0.5
  7  V     0.5   0.5  -0",478.396,311.281,192.304,21.474
205,Nb2 Mo1 W1 C4,"Full Formula (Nb2 Mo1 W1 C4)
Reduced Formula: Nb2MoWC4
abc   :   4.425439   4.425439   4.422459
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b    c
---  ----  ----  ---  ---
  0  C     -0    0.5  0
  1  C      0.5  0    0
  2  C     -0    0    0.5
  3  C      0.5  0.5  0.5
  4  Mo    -0    0    0
  5  Nb     0    0.5  0.5
  6  Nb     0.5  0    0.5
  7  W      0.5  0.5  0",500.875,330.516,200.763,21.606
206,Zr1 Nb2 Mo1 C4,"Full Formula (Zr1 Nb2 Mo1 C4)
Reduced Formula: ZrNb2MoC4
abc   :   4.499164   4.499164   4.514679
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Mo    0    -0    -0
  5  Nb    0     0.5   0.5
  6  Nb    0.5  -0     0.5
  7  Zr    0.5   0.5   0",459.338,287.229,186.198,22.405
208,Ta2 Nb1 Mo1 C4,"Full Formula (Ta2 Nb1 Mo1 C4)
Reduced Formula: Ta2NbMoC4
abc   :   4.454753   4.450430   4.450430
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0    -0    -0
  5  Nb    -0     0.5   0.5
  6  Ta     0.5   0     0.5
  7  Ta     0.5   0.5   0",532.653,328.773,216.529,25.258
209,Ti2 Nb1 Mo1 C4,"Full Formula (Ti2 Nb1 Mo1 C4)
Reduced Formula: Ti2NbMoC4
abc   :   4.367909   4.383674   4.383674
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0    -0
  5  Nb    -0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Ti     0.5   0.5  -0",507.031,297.091,208.559,26.783
210,Nb1 V2 Mo1 C4,"Full Formula (Nb1 V2 Mo1 C4)
Reduced Formula: NbV2MoC4
abc   :   4.297724   4.315828   4.315828
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0     0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0    -0    -0
  5  Nb    -0     0.5   0.5
  6  V      0.5   0     0.5
  7  V      0.5   0.5   0",454.336,316.728,180.16,18.398
211,Nb1 Mo1 W2 C4,"Full Formula (Nb1 Mo1 W2 C4)
Reduced Formula: NbMo(WC2)2
abc   :   4.397255   4.400718   4.400718
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0     0
  5  Nb     0     0.5   0.5
  6  W      0.5  -0     0.5
  7  W      0.5   0.5   0",428.595,350.882,165.3,13.335
212,Ti1 Nb1 Cr2 C4,"Full Formula (Ti1 Nb1 Cr2 C4)
Reduced Formula: TiNb(CrC2)2
abc   :   4.250416   4.265693   4.265693
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0     0
  5  Cr     0     0.5   0.5
  6  Nb     0.5  -0     0.5
  7  Ti     0.5   0.5   0",448.198,292.556,180.048,20.448
213,Zr2 Nb1 Mo1 C4,"Full Formula (Zr2 Nb1 Mo1 C4)
Reduced Formula: Zr2NbMoC4
abc   :   4.537314   4.567515   4.567515
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0     0     0
  5  Nb     0     0.5   0.5
  6  Zr     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",435.194,266.581,177.208,22.416
224,Nb1 V1 Cr2 C4,"Full Formula (Nb1 V1 Cr2 C4)
Reduced Formula: NbV(CrC2)2
abc   :   4.221200   4.218532   4.218532
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0     0
  5  Cr    -0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  V      0.5   0.5   0",433.361,305.35,171.497,17.487
227,Ta3 Mo1 C4,"Full Formula (Ta3 Mo1 C4)
Reduced Formula: Ta3MoC4
abc   :   4.450955   4.450955   4.450955
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0    -0
  5  Ta     0     0.5   0.5
  6  Ta     0.5   0     0.5
  7  Ta     0.5   0.5  -0",536.641,339.56,216.983,24.314
228,Ta2 Ti1 Mo1 C4,"Full Formula (Ta2 Ti1 Mo1 C4)
Reduced Formula: Ta2TiMoC4
abc   :   4.414449   4.414449   4.423569
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0    -0    -0
  5  Ta    -0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  Ti     0.5   0.5  -0",501.208,324.088,201.735,22.39
229,Ta2 V1 Mo1 C4,"Full Formula (Ta2 V1 Mo1 C4)
Reduced Formula: Ta2VMoC4
abc   :   4.386658   4.386658   4.391556
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5  -0     0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0    -0
  5  Ta    -0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  V      0.5   0.5  -0",522.523,331.239,211.191,23.817
230,Ta2 Mo1 W1 C4,"Full Formula (Ta2 Mo1 W1 C4)
Reduced Formula: Ta2MoWC4
abc   :   4.424508   4.424508   4.426563
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5   0
  1  C     0.5  -0     0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Mo    0    -0     0
  5  Ta    0     0.5   0.5
  6  Ta    0.5  -0     0.5
  7  W     0.5   0.5  -0",495.68,349.52,196.132,19.131
231,Zr1 Ta2 Mo1 C4,"Full Formula (Zr1 Ta2 Mo1 C4)
Reduced Formula: ZrTa2MoC4
abc   :   4.493765   4.493765   4.511407
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  C     -0    0.5  -0
  1  C      0.5  0    -0
  2  C     -0    0     0.5
  3  C      0.5  0.5   0.5
  4  Mo    -0    0     0
  5  Ta    -0    0.5   0.5
  6  Ta     0.5  0     0.5
  7  Zr     0.5  0.5  -0",502.791,306.462,204.959,24.863
232,Ta1 Ti2 Mo1 C4,"Full Formula (Ta1 Ti2 Mo1 C4)
Reduced Formula: TaTi2MoC4
abc   :   4.365764   4.385265   4.385265
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0     0    -0
  5  Ta     0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Ti     0.5   0.5  -0",515.261,307.603,211.031,26.195
233,Ta1 V2 Mo1 C4,"Full Formula (Ta1 V2 Mo1 C4)
Reduced Formula: TaV2MoC4
abc   :   4.299708   4.319313   4.319313
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0     0
  2  C     0     0     0.5
  3  C     0.5   0.5   0.5
  4  Mo    0     0    -0
  5  Ta    0     0.5   0.5
  6  V     0.5  -0     0.5
  7  V     0.5   0.5   0",467.225,328.183,185.007,18.506
234,Ta1 Mo1 W2 C4,"Full Formula (Ta1 Mo1 W2 C4)
Reduced Formula: TaMo(WC2)2
abc   :   4.394994   4.404167   4.404167
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Mo    -0    -0     0
  5  Ta    -0     0.5   0.5
  6  W      0.5  -0     0.5
  7  W      0.5   0.5   0",416.833,357.967,159.593,12.008
235,Nb1 Cr2 W1 C4,"Full Formula (Nb1 Cr2 W1 C4)
Reduced Formula: NbCr2WC4
abc   :   4.271228   4.285530   4.285530
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5   0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0    -0    -0
  5  Cr    -0     0.5   0.5
  6  Nb     0.5   0     0.5
  7  W      0.5   0.5  -0",459.347,326.942,181.44,17.878
236,Zr2 Ta1 Mo1 C4,"Full Formula (Zr2 Ta1 Mo1 C4)
Reduced Formula: Zr2TaMoC4
abc   :   4.529935   4.565685   4.565685
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5   0
  1  C      0.5   0     0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0     0     0
  5  Ta    -0     0.5   0.5
  6  Zr     0.5  -0     0.5
  7  Zr     0.5   0.5  -0",442.737,276.076,179.577,21.973
237,Ti3 Mo1 C4,"Full Formula (Ti3 Mo1 C4)
Reduced Formula: Ti3MoC4
abc   :   4.336472   4.336472   4.336472
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Mo     0     0     0
  5  Ti     0     0.5   0.5
  6  Ti     0.5   0     0.5
  7  Ti     0.5   0.5   0",483.399,291.882,197.471,24.633
